title,simple_first_paragraph,en_first_paragraph,main_category,main_topic,ores_topics,llama_score,llama_retained,llama_lost,mistral_score,mistral_retained,mistral_lost,gemma_score,gemma_retained,gemma_lost,page_id,revid
"marlboro county, south carolina","'''Marlboro County''' is a county in the state of 2020 census, 26,667 people lived there. Its Bennettsville.","'''Marlboro County''' is a county located in the 2020 census, its population was 26,The Great Pee Dee River runs through it.",Geography,Geography.Regions.Americas.North America,['Geography.Regions.Americas.North America'],60.0,"[""The name 'Marlboro County' is retained."", ""The population figure '26,667' is retained (though it's mentioned as '2020 census' in the original text)."", 'The mention of Bennettsville is retained.']","[""The phrase 'located in the state of' is omitted from the Simple English version."", 'The mention of the Great Pee Dee River is lost.', 'Additional contextual information about Marlboro County, such as its location within a region or its history, is not present in the Simple English version.']",75.0,"[""The county is located in a state (implicit, but can be inferred as South Carolina based on the fact that it's mentioned in the complex text)"", 'The Great Pee Dee River runs through it.']","['The exact state name is not explicitly stated in the Simple English version', 'Exact population number in the Simple English version is 26,667 instead of just 26']",87.0,"['Population in 2020 census: 26,667', 'Location of Bennettsville']","['River running through the county: The Great Pee Dee River', 'State not mentioned in the context']",91867,1287840552.0
alappuzha,"'''Alappuzha''' is a city in administrative tourist attractions in Kerala. The city is located in the coastal region of Laccadive Sea. In 2016, the Centre for Science and Environment rated Alappuzha as the top cleanest town in India.","'''Alappuzha''' (), formerly known as '''Alleppey is a city on the Laccadive Sea in the southern Indian state of Kerala.''' It is the district headquarters of the district, and is located about north of the state capital Thiruvananthapuram. As per the 2011 Indian census, Alappuzha has a population of 240,991 people, and a population density of .",Geography,Geography.Regions.Asia.Asia*,"['Geography.Regions.Asia.Asia*', 'Geography.Regions.Asia.South Asia']",64.0,"['Alappuzha is a city', 'It is located on the Laccadive Sea', 'The city has been rated as the top cleanest town in India']","['Alappuzha is the district headquarters of Alappuzha district', 'It is located about north of Thiruvananthapuram, the state capital', 'The population of Alappuzha is approximately 240,991 people', 'The population density is (no specific value mentioned)']",75.0,"['Alappuzha is a city on the Laccadive Sea in Kerala.', 'It is the district headquarters of its district.']","['As per the 2011 Indian census, Alappuzha has a population of 240,991 people, and a population density of XXX people per square kilometer.', 'Alappuzha is located about north of the state capital Thiruvananthapuram.']",75.0,"['Alappuzha is a city in Kerala.', 'It is located on the Laccadive Sea.']","['Formerly known as Alleppey', 'District headquarters', 'Population and density statistics', 'Year of cleanliness rating']",3793923,1288501941.0
list of programs broadcast by nick at nite,The following is a '''list of programs''' broadcast by the American nighttime block Nick at Nite.,The following is a '''list of programs''' broadcast by the American nighttime block Nick at Nite.,Culture,Culture.Media.Media*,"['Culture.Media.Media*', 'Culture.Media.Television']",83.0,"['The text refers to a list of programs broadcast by Nick at Nite.', 'The programs are from an American nighttime block.']",[],100.0,"['The following is a list of programs', 'broadcast by the American nighttime block Nick at Nite.']",[],100.0,['The following is a list of programs broadcast by the American nighttime block Nick at Nite.'],[],3163521,1276771963.0
mcmurdo dry valleys,The '''McMurdo Dry Valleys''' are valleys in mountains stop the flow of glaciers. The rocks here are granites and gneisses. It is one of the driest places on Earth.,"The '''McMurdo Dry Valleys''' are a row of largely snowfree valleys in Antarctica, located within Victoria Land west of McMurdo Sound. The Dry Valleys experience extremely low humidity and surrounding mountains prevent the flow of ice from nearby glaciers. The rocks here are granites and gneisses, and glacial tills dot this bedrock landscape, with loose gravel covering the ground. It is one of the driest places on Earth, though there are several anecdotal accounts of rainfall within the Dry Valleys.",STEM,STEM.STEM*,"['Geography.Geographical', 'Geography.Regions.Oceania', 'STEM.Earth and environment', 'STEM.STEM*']",67.0,"['The McMurdo Dry Valleys exist', 'It is one of the driest places on Earth', 'The rocks here are granites and gneisses']","['The valleys are located within Victoria Land west of McMurdo Sound', 'The surrounding mountains prevent the flow of ice from nearby glaciers', 'There are several anecdotal accounts of rainfall within the Dry Valleys', 'Glacial tills dot this bedrock landscape, with loose gravel covering the ground']",50.0,"['It is one of the driest places on Earth.', 'The rocks here are granites and gneisses.']","['The McMurdo Dry Valleys are a row of largely snowfree valleys in Antarctica, located within Victoria Land west of McMurdo Sound.', 'The Dry Valleys experience extremely low humidity and surrounding mountains prevent the flow of ice from nearby glaciers. The rocks here are granites and gneisses, and glacial tills dot this bedrock landscape, with loose gravel covering the ground.', 'There are several anecdotal accounts of rainfall within the Dry Valleys.']",75.0,"['The McMurdo Dry Valleys are valleys in mountains.', 'The rocks here are granites and gneisses.']","['The Dry Valleys experience extremely low humidity.', 'Surrounding mountains prevent the flow of ice from nearby glaciers.', 'It is one of the driest places on Earth, though there are several anecdotal accounts of rainfall within the Dry Valleys.']",10966318,176372231.0
fahrudin jusufi,"'''Fahrudin Jusufi''' (; 8 December 1939 – 9 August was a Yugoslavian national team from 1959 to He played as a fullback. Jusufi also played for Partizan from 1957 to 1970 and for Eintracht Frankfurt from 1970 to Jusufi was born in Dragaš, Kingdom of Yugoslavia.","'''Fahrudin Jusufi''' (, ; 8 December 1939 – 9 August was a Yugoslav footballer who most notably played for Partizan, Yugoslavia national team.",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Culture.Sports', 'Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Southern Europe']",62.0,"['""Fahrudin Jusufi was a footballer"", ""He played for Partizan"", ""He played as a fullback"", ""He was born in Dragaš, Kingdom of Yugoslavia""']","['""He most notably played for Partizan, Yugoslavia national team"" (original context and emphasis lost), ""No specific dates mentioned for his career with the Yugoslav national team"" (loss of information on duration)']",75.0,"['Fahrudin Jusufi was a Yugoslav footballer', 'Jusufi played for Partizan from 1957 to 1970 and for Eintracht Frankfurt from 1970 to']","[""Jusufi's exact position was not specified in the Simple English version"", 'Jusufi played for Partizan, Yugoslavia national team, but the timeframes were not explicitly stated in the Simple English version']",80.0,"['Born in Dragaš', 'Played for Partizan from 1957 to 1970']","['Most notably played for Partizan', 'Played for Eintracht Frankfurt from 1970 to Jusufi was a Yugoslav footballer', 'National team from 1959 to He played as a fullback']",12659780,1269928157.0
"lincoln park, new jersey","'''Lincoln Park''' is a borough in Morris County, New Jersey, United States. As of the 2020 United States Census, the borough's population was 10,","'''Lincoln Park''' is a borough in Morris County, in the U.S. state of New Jersey. As of the 2020 United States census, the borough's population was 10,915,",Geography,Geography.Regions.Americas.North America,['Geography.Regions.Americas.North America'],60.0,"['The borough is in Morris County, New Jersey, United States', 'The year of the population data is 2020', 'The population is 10']","['The exact population figure (10,915) is lost due to simplification', 'Additional details about the borough that are not crucial for understanding its location and population size']",90.0,"['Lincoln Park is a borough in Morris County, New Jersey, United States.', ""As of the 2020 United States Census, the borough's population was 10,""]","['Lincoln Park is a borough in Morris County, in the U.S. state of New Jersey.', ""As of the 2020 United States census, the borough's population was 10,915.""]",89.0,"['Lincoln Park is a borough in Morris County, New Jersey.', ""As of the 2020 United States Census, the borough's population was 10,000.""]","['United States', '10,915']",125551,1275808767.0
klaus von dohnanyi,'''Klaus von Dohnanyi''' (born 23 June is a German politician. He is a member of the Social Democratic Party. He was Mayor of Hamburg between 1981 and,'''Klaus von Dohnanyi''' (; born 23 June is a German politician of the Social Democratic Party (SPD). He served as mayor of head of a german state government.,Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Western Europe']",66.67,"['Klaus von Dohnanyi is a German politician.', 'He was born on 23 June.', 'He is a member of the Social Democratic Party (SPD).', 'He served as Mayor of Hamburg between 1981 and [year].']","['The Simple English version does not mention that Klaus von Dohnanyi served as head of a German state government.', 'The year of his mayorship in Hamburg is missing.']",75.0,"['Klaus von Dohnanyi is a German politician.', 'He is a member of the Social Democratic Party.']","['Klaus von Dohnanyi was born on 23 June.', 'He served as mayor of head of a german state government.']",80.0,"['Klaus von Dohnanyi is a German politician.', 'He is a member of the Social Democratic Party.']","['He served as mayor of head of a German state government.', 'He was Mayor of Hamburg between 1981 and']",3453842,1288225441.0
new great migration,"The New Great Migration refers to the demographic shift that has occurred from 1970 to the present, marking a reversal of the preceding 60year trend of African American migration within the United States.","The '''New Great Migration''' is the demographic change from 1970 to the present, which is a reversal of the previous 60year trend of black migration within the United States.",Geography,Geography.Regions.Americas.North America,['Geography.Regions.Americas.North America'],85.0,"['The demographic change refers to a reversal', 'It occurred from 1970 to the present', 'The trend was previously 60 years long']","[""The term 'black' is used instead of 'African American'"", 'No mention of the previous 60-year trend being one of migration within the United States']",100.0,"['The demographic change from 1970 to the present', 'This is a reversal of the previous 60year trend of black migration within the United States.']",[],80.0,"['Demographic shift from 1970 to present', 'Reversal of previous 60-year trend of African American migration']","[""Specific term 'New Great Migration'"", 'Explanation of previous trend reversal']",16962949,1288099512.0
humf,'''Humf''' is a UK animated series about a purple bear named Humf.,"'''''Humf''''' is a British animated children's television programme centred on a furry creature of the same name and his exploration of the world. The show is produced by Nick Jr. and ABC in Australia, Four in New Zealand and CBeebies in some international countries. Another episode, ""Uncle Hairy's Cinema"", depicts Uncle Hairy and his partner Flora accompanying Humf, Loon, and Wallace to a cinema, which they reach by bus, as it is too far to walk.",Culture,Culture.Media.Media*,"['Culture.Media.Media*', 'Culture.Media.Television']",75.0,"[""Humf is a British animated children's television programme"", 'Humf is a furry creature', 'The show is produced by multiple companies', 'There is an episode about going to a cinema']","['The show has international broadcasts on CBeebies', 'Uncle Hairy and Flora accompany Humf, Loon, and Wallace to the cinema', ""It's too far to walk to the cinema, so they take a bus""]",75.0,"['Humf is a UK animated series.', 'The show is produced by different broadcasters in different countries.']","[""'Humf' is a British animated children's television programme centred on a furry creature of the same name and his exploration of the world."", ""'Uncle Hairy' and his partner 'Flora' accompany Humf, Loon, and Wallace to a cinema in an episode named 'Uncle Hairy's Cinema'. They reach the cinema by bus as it is too far to walk.""]",66.0,"['Humf is a purple bear', ""The series is centered on Humf's exploration of the world""]","['Production countries', 'Additional episode details', 'Transportation method to the cinema', ""Names of Humf's companions""]",23454546,1287690901.0
george sanders,"'''George Henry Sanders''' (3 July 1906 – 25 April was a British Rebecca'', and ''The Jungle Book''. He was also known for his television role as Batman''. His brother was actor Tom Conway. He won an Academy Award.","'''George Henry Sanders''' (3 July 1906 – 25 April was a British actor and singer whose career spanned over 40 years. His heavy, upperclass English accent and smooth bass voice often led him to be cast as sophisticated but villainous characters. He is remembered for his roles as wicked Jack Favell in ''Rebecca'' (, Scott ffolliott in ''Foreign Correspondent'' (1940, a rare heroic part), The Saran of Gaza in ''Samson and Delilah'' (1949, the most popular film of the year), theater critic Addison DeWitt in ''Oscar), Sir Brian De BoisGuilbert in ''Ivanhoe'' (, King Richard the Lionheart in ''Batman'' (, and the voice of The Jungle Book'' (. He also starred as The Saint'' series (1939–, and as a suave ''Saint''like crimefighter in the first 4 of the 16 The Falcon films (1941–.",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Culture.Media.Media*']",45.0,"['George Henry Sanders was a British actor and singer', ""He starred in movies such as 'Rebecca' and 'The Jungle Book'"", 'He won an Academy Award']","['He had a career spanning over 40 years', 'He often played sophisticated but villainous characters', ""He appeared in many films, including 'Foreign Correspondent', 'Samson and Delilah', 'Oscar', and 'Ivanhoe'"", ""He starred as The Saint'' series (1939–1942) and voiced The Jungle Book''"", 'He also starred as a suave crimefighter in the first 4 of the 16 The Falcon films (1941–)', 'He had a brother, actor Tom Conway']",75.0,"['George Henry Sanders was a British actor and singer.', 'He died on 25 April.', 'His brother was actor Tom Conway.']","['The exact dates of his birth and death were not provided in the Simple English version.', ""Details about George Henry Sanders' career spanning over 40 years, various roles he played (e.g., wicked Jack Favell, Scott ffolliott, The Saran of Gaza, Addison DeWitt, Sir Brian De BoisGuilbert, King Richard the Lionheart, and The Jungle Book's voice), his television role as Batman, his role in the 'Saint' series (1939–) and as a suave 'Saint'-like crimefighter in the first 4 of the 16 The Falcon films (1941–)"", 'He won an Academy Award.']",71.0,"['George Henry Sanders was a British actor and singer.', 'His career spanned over 40 years.', 'He was known for his roles in Rebecca and The Jungle Book.']","['His heavy, upperclass English accent and smooth bass voice', ""His roles as wicked Jack Favell in 'Rebecca', Scott Ffolliott in 'Foreign Correspondent', The Saran of Gaza in 'Samson and Delilah', theater critic Addison DeWitt in 'Oscar', Sir Brian De BoisGuilbert in 'Ivanhoe', King Richard the Lionheart in 'Batman', and the voice of The Jungle Book"", 'He also starred as The Saint series (1939–) and as a suave Saintlike crimefighter in the first 4 of the 16 The Falcon films (1941–)', 'He won an Academy Award']",463180,1288528749.0
oliver hart (economist),"'''Oliver Simon D'Arcy Hart''' (born October 9, is a Britishborn American economist. He is the Andrew E. Furer Professor of Economics at Harvard University. Together with Bengt R. Holmström, he received the Nobel Memorial Prize in Economic Sciences in","'''Sir Oliver Simon D'Arcy Hart''' (born October 9, is a Britishborn American economist, currently the Lewis P. and Linda L. Geyser University Professor at Harvard University. Together with Bengt R. Holmström, he received the Nobel Memorial Prize in Economic Sciences in",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'History and Society.Business and economics']",71.43,"['Birthdate: October 9', 'Nationality: British-born American', 'Profession: Economist', 'Academic title: Professor (Andrew E. Furer Professor of Economics at Harvard University)', 'Achievement: Nobel Memorial Prize in Economic Sciences winner']","[""The full name 'Sir Oliver Simon D'Arcy Hart' is reduced to just 'Oliver Simon D'Arcy Hart'"", ""The title 'Lewis P. and Linda L. Geyser University Professor' at Harvard University is omitted"", 'No mention of the Nobel Memorial Prize being awarded in a specific year']",87.5,"[""Oliver Simon D'Arcy Hart is a Britishborn American economist."", 'He is the Lewis P. and Linda L. Geyser University Professor at Harvard University.']","['Together with Bengt R. Holmström, he received the Nobel Memorial Prize in Economic Sciences.']",80.0,"['Born on October 9', 'Britishborn American economist', 'Nobel Memorial Prize in Economic Sciences']","['Lewis P. and Linda L. Geyser University Professor', 'Andrew E. Furer Professor of Economics']",2817874,1276945469.0
area code 251,"'''Area code 251''' is a telephone area code in the state of Alabama in the United States. It covers the southwestern part of the state, including the Mobile metropolitan area and surrounding regions. It was created on January 8, 2001, as a split from area code 334, which originally covered a larger portion of southern and central Alabama.","'''Area code 251''' is a telephone Mobile, Baldwin, and Washington counties and parts of six other counties. It was created on June 18, 2001, as a split from area code In order to allow people time to reprogram electronics such as computers, cell phones, pagers and fax machines, use of the 334 area code continued in the 251 areas through January 7,",Geography,Geography.Regions.Americas.North America,['Geography.Regions.Americas.North America'],72.0,"['Area code 251 is a telephone area code', 'It covers the southwestern part of Alabama', 'It includes the Mobile metropolitan area and surrounding regions', 'It was created on January 8, 2001 (roughly)']","['The area code was a split from 334', 'Use of the 334 area code continued until January 7, ', 'It covers parts of six other counties (besides Mobile, Baldwin, and Washington)']",50.0,"['Area code 251 is a telephone area code in the state of Alabama.', 'It was created on January 8, 2001.']","['Area code 251 covers the southwestern part of the state, including the Mobile metropolitan area and surrounding regions.', 'It was created as a split from area code 334, which originally covered a larger portion of southern and central Alabama.', 'It continues to be used in certain areas until January 7, 2001.']",80.0,"['Area code 251 is for Mobile, Baldwin, and Washington counties and parts of six other counties.', 'It was created on January 8, 2001, as a split from area code 334.']","['Created on June 18, 2001', 'Use of the 334 area code continued in the 251 areas through January 7']",1366886,1241028311.0
carol danvers,"'''Captain Marvel''' (real name '''Carol Susan Jane Danvers''', and Kree name '''CarEll'''), previously known as '''The Avengers'' and ''AForce'' comics. She was created by Roy Thomas and Gene Colan, and first appeared in ''Marvel SuperHeroes'' #13 in March of","'''Carol Susan Jane Danvers''' is a character appearing in first appeared as an officer in the MarVell in ''Marvel SuperHeroes'' #13 (March . Danvers later became the first incarnation of '''Silver Age of comics, the character was featured in a selftitled series in the late 1970s before becoming associated with the superhero teams the Avengers and the Captain Marvel''' at various points in her history.",Culture,Culture.Literature,"['Culture.Literature', 'Culture.Visual arts.Comics and Anime', 'Culture.Visual arts.Visual arts*']",60.0,"['Coral Susan Jane Danvers is a character.', 'She first appeared in ""Marvel SuperHeroes"" #13 (March).', ""Her real name is Carol Susan Jane Danvers, and she has a Kree name ('CarEll')."", 'She was created by Roy Thomas and Gene Colan.']","[""The character's history includes the 'Silver Age' of comics."", 'She became associated with various superhero teams, including the Avengers and Captain Marvel.', 'She had a self-titled series in the late 1970s.']",75.0,"['Captain Marvel (real name Carol Susan Jane Danvers)', 'She was created by Roy Thomas and Gene Colan', 'First appeared in Marvel SuperHeroes #13']","[""The character's Kree name 'CarEll'"", 'The character later became the first incarnation of Silver Age comics', 'The character was featured in a self-titled series in the late 1970s', 'The character was associated with the superhero teams the Avengers and Captain Marvel at various points in her history']",80.0,"['Carol Susan Jane Danvers is a character', ""First appeared in 'Marvel SuperHeroes' #13"", 'Became the first incarnation of Silver Age of comics']","['Appears as an officer', 'Featured in a self-titled series', 'Associated with the superhero teams the Avengers and the Captain Marvel']",10589717,1286041627.0
taqi usmani,", caption=Taqi Usmaniimage=File:Taqi Usmani in London (.jpgnationality=website=disciple_of=Abdul Hai Arifiinfluenced=influences=notable_works=Muhammad Taqi Usmani bibliographyawards=notable_ideas=Evolution of Islamic economics, alma_mater=religion=Islammovement=creed=AthariMadh'hab=era=21stcentury philosophydenomination=Sunnifather=relations=Muhammad Rafi Usmani (brother)birth_place=United Provinces, British Indiabirth_date=title=Mufti, Qadi, Imam and SheikhulIslamsignature=Muhammad Taqi Usmani Signature.svgnative_name=مُحَمَّدٌ تَقِيٌّ عُثْمَانِيٌّnative_name_lang=ur","'''Muhammad Taqi Usmani'''translit=Muḥammad Taqī ʿUs̱mānī (born 3 October SI, OI, is a Pakistani Islamic jurist and leading scholar in the fields of Qur'an, Hadith, Islamic law, Wifaq ul Madaris AlArabia. His father, Shafi Usmani, was the Grand Mufti of Darul Uloom Deoband and Taqi Usmani migrated to Pakistan with his family after the partition of India in",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Culture.Philosophy and religion', 'Geography.Regions.Asia.Asia*', 'Geography.Regions.Asia.South Asia']",55.0,"['Muhammad Taqi Usmani is a Pakistani Islamic jurist', ""He is a leading scholar in Qur'an, Hadith, Islamic law, and Wifaq ul Madaris AlArabia"", 'His father was the Grand Mufti of Darul Uloom Deoband', 'Taqi Usmani migrated to Pakistan with his family after the partition of India']","['He is a disciple of Abdul Hai Arifi and influenced by him', ""He has notable works in Islamic economics, such as 'Muhammad Taqi Usmani bibliography'"", 'He received awards for his contributions', 'He is known for his ideas on the Evolution of Islamic economics']",75.0,"['Muhammad Taqi Usmani', 'born 3 October SI, OI', ""a Pakistani Islamic jurist and leading scholar in the fields of Qur'an, Hadith, Islamic law"", 'migrated to Pakistan with his family after the partition of India']","['Weitere Informationen: Wifaq ul Madaris AlArabia (disciple_of=Abdul Hai Arifiinfluenced=influences=notable_works=Muhammad Taqi Usmani bibliographyawards=notable_ideas=Evolution of Islamic economics', 'His father, Shafi Usmani, was the Grand Mufti of Darul Uloom Deoband', 'nationality=website=denomination=Sunnifather=relations=Muhammad Rafi Usmani (brother)birth_place=United Provinces, British Indiabirth_date=title=Mufti, Qadi, Imam and SheikhulIslamsignature=Muhammad Taqi Usmani Signature.svgnative_name=مُحَمَّدٌ تَقِيٌّ عُثْمَانِيٌّnative_name_lang=ur', ""creed=AthariMadh'hab=era=21stcentury philosophy"", 'alma_mater']",78.0,"['Born in 3 October SI, OI', 'Pakistani Islamic jurist', ""Leading scholar in Qur'an, Hadith, Islamic law"", 'Influenced by Abdul Hai Arifi']","[""His father's name"", 'Migrated to Pakistan after the partition of India', 'Notable works and ideas', 'Alma mater, movement, creed, era, philosophy, denomination', 'Birth place and date', 'Signature and native name']",2458374,1287459612.0
michel sénéchal,"'''Michel Sénéchal''' (11 February 1927 &ndash; 1 April was a French tenor. He worked with French and Italian character roles in a repertory ranging from Baroque to contemporary works. Sénéchal was born in Paris, France.","'''Michel Sénéchal''' (11 February 1927 – 1 April was a French tenor, particularly associated with French and Italian character roles in a repertory ranging from Baroque to contemporary works.",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Culture.Media.Media*', 'Culture.Media.Music', 'Culture.Performing arts']",83.0,"['Michel Sénéchal was a French tenor', 'He worked with French and Italian character roles in a repertory ranging from Baroque to contemporary works']","['Sénéchal was particularly associated with French and Italian character roles (this detail is not retained in the Simple English version)', 'The specific range of years mentioned in the original text (11 February 1927 – 1 April) is not included in the Simple English version', ""No birthplace is mentioned in the Simple English version, unlike in the original text where it's specified as Paris, France""]",87.5,"['Michel Sénéchal was a French tenor.', 'He worked with French and Italian character roles in a repertory ranging from Baroque to contemporary works.']","['Michel Sénéchal died on 1 April', ""Michel Sénéchal's birthplace was Paris, France.""]",80.0,"['Michel Sénéchal was a French tenor.', 'He worked with French and Italian character roles in a repertory ranging from Baroque to contemporary works.']","['Born in Paris, France.', 'Dates of birth and death']",14633402,1263123493.0
michael bernard,"'''Michael Bernard''' is a retired weightlifter from New Zealand. Michael competed at the 1984 Summer Olympics. He was born on September 27,","'''Michael Jerome Bernard''' Bernard played college basketball at Kentucky State, graduating in 1970, the year Kentucky State won the NAIA national championship. Bernard played professionally for the Wilmington Blue Bonnets of the Eastern Basketball Association from 1970 to",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Culture.Sports']",50.0,"['Michael Bernard is a person', 'He was born on September 27', 'He competed at the Olympics']","['Michael Jerome Bernard played college basketball at Kentucky State, graduating in 1970', 'Kentucky State won the NAIA national championship in 1970', 'Bernard played professionally for the Wilmington Blue Bonnets of the Eastern Basketball Association from 1970 to [unknown end date]']",0.0,[],"['Michael Jerome Bernard', 'Bernard played college basketball at Kentucky State, graduating in 1970, the year Kentucky State won the NAIA national championship.', 'Bernard played professionally for the Wilmington Blue Bonnets of the Eastern Basketball Association from 1970 to']",20.0,"['Michael Bernard is a retired weightlifter', 'He was born on September 27']","['Played college basketball at Kentucky State', 'Graduated in 1970', 'Won the NAIA national championship', 'Played professionally for the Wilmington Blue Bonnets', 'Competed at the 1984 Summer Olympics']",22269426,1269375175.0
laon cathedral,'''Laon Cathedral''' () is a romanesque church which had been destroyed by a fire. It is one of the most important examples of the SaintÉtienne of Sens and Notre Dame of Paris.,"'''Laon Cathedral''' () is a church located in Diocese of Laon until 1802, and has been recognized as a ''monument historique'' since",Geography,Geography.Regions.Europe.Europe*,"['Culture.Philosophy and religion', 'Culture.Visual arts.Architecture', 'Culture.Visual arts.Visual arts*', 'Geography.Regions.Europe.Europe*']",67.0,"['The Laon Cathedral is a church.', 'It has been recognized as a monument historique.']","['Information about the Diocese of Laon until 1802', ""Description of the church's architecture (romanesque)"", 'Reference to SaintÉtienne of Sens and Notre Dame of Paris', 'The fact that it was destroyed by fire']",50.0,"['The church is located in Diocese of Laon until 1802', ""It has been recognized as a 'monument historique'""]","[""The church was a church located in Diocese of Laon until 1802 and is now a 'monument historique'"", 'The church had been destroyed by a fire']",75.0,"['Romanesque church', 'Destroyed by fire']","['Location: Diocese of Laon', 'Recognition as a historical monument']",548048,1287515874.0
vivo cantando,"""'''Vivo cantando'''"" is a Salomé. It won the Eurovision Song Contest 1969 in Madrid, giving Spain its second and so far last win in the contest. The win made Spain the first country to win 2 years in a row.","On 20–22 February 1969, """" performed by both Salomé and competed in the of the , the national final organized by Televisión Española (TVE) to select the song Salomé –who had already been internally selected– would perform in the of the Eurovision Song Contest. The song won the competition so it became the for the contest.",Geography,Geography.Regions.Europe.Europe*,"['Culture.Media.Media*', 'Culture.Media.Music', 'Culture.Media.Television', 'Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Southern Europe']",66.0,"[""The song title is 'Vivo cantando'."", 'The song won the Eurovision Song Contest 1969.', 'Spain won its second and so far last win in the contest.', 'The win made Spain the first country to win 2 years in a row.']","['The original date range of the national final (20–22 February 1969).', ""The fact that Salomé was internally selected and competed against another artist, ''."", 'The specific contest to which Spain won its first victory (Eurovision Song Contest 1968).']",50.0,"[""The song 'Vivo cantando' won the Eurovision Song Contest 1969"", 'The win made Spain the first country to win 2 years in a row']","[""The song 'Vivo cantando' was performed by both Salomé and "", 'The competition it won was the national final organized by Televisión Española (TVE) on 20–22 February 1969 to select the song for the Eurovision Song Contest', 'It became the representative song for Spain in the contest']",80.0,"[""Salomé's song 'Vivo cantando' won the Eurovision Song Contest 1969."", 'The win gave Spain its second and so far last win in the contest.']","['The date of the competition', 'The location of the competition', 'The organization of the competition', 'Internal selection process of the singer']",5491453,1286473206.0
"watervliet, new york","'''Watervliet''' is a city in Albany County, New York, United States.","'''Watervliet''' ( or ) is a city in northeastern 2020 census. Watervliet is north of Albany, the capital of the state, and is bordered on the north, west, and south by the town of Colonie. The city is also known as ""the Arsenal City"".",Geography,Geography.Regions.Americas.North America,"['Geography.Geographical', 'Geography.Regions.Americas.North America']",67.0,"['Watervliet is a city', 'Watervliet is located in Albany County, New York, United States']","['Watervliet has a population of 2,755 as of the 2020 census', ""The city is also known as 'the Arsenal City'""]",50.0,"['Watervliet is a city in Albany County, New York, United States.', '']","[""'Watervliet' ( or ) is a city in northeastern New York, 2020 census."", ""Watervliet is north of Albany, the capital of the state, and is bordered on the north, west, and south by the town of Colonie. The city is also known as 'the Arsenal City'.""]",75.0,"['Watervliet is a city in Albany County, New York, United States.', 'Watervliet is north of Albany, the capital of the state.']","[""The city is also known as 'the Arsenal City'"", 'The city is bordered on the north, west, and south by the town of Colonie', 'According to the 2020 census']",126099,1280851781.0
lieutenant governor of manitoba,"The '''Lieutenant Governor of Manitoba''' is the representative of the Canadian monarch, Queen the other Canadian lieutenant governors. Most of the lieutenant governor's roles are ceremonial, such as giving provincial awards and decorations.",Majesty's pleasureAt the governor general's pleasure,Geography,Geography.Regions.Americas.North America,"['Culture.Media.Entertainment', 'Geography.Regions.Americas.North America']",76.0,"[""Majesty's pleasure corresponds to the governor general's pleasure."", 'The Lieutenant Governor of Manitoba represents the Canadian monarch, Queen', 'Ceremonial roles include giving provincial awards and decorations']","[""At the governor general's pleasure is not explicitly mentioned in the Simple English version"", ""No mention of the representative's role being ceremonial in the first place""]",50.0,"['The subject is the Lieutenant Governor of Manitoba.', 'The role of the Lieutenant Governor is ceremonial.']","['The Lieutenant Governor represents the Canadian monarch, Queen (implied in this context as the current Canadian monarch, King Charles III).', ""The text from English Wikipedia mentions 'governor general's pleasure', which is not explicitly mentioned or explained in the Simple English version.""]",75.0,"['The Lieutenant Governor of Manitoba is the representative of the Canadian monarch.', ""Most of the lieutenant governor's roles are ceremonial.""]","[""Majesty's pleasure"", ""Governor general's pleasure""]",69058895,1050609784.0
